Address,Price,Beds,Baths,Size
"1913 W 19th St #3, Chicago, IL 60608","$520,000",2 beds,2 baths,"1,380 sq ft"
"1910 W Superior St #1, Chicago, IL 60622","$439,000",2 beds,2 baths,"1,250 sq ft"
"5550 115th St #502, Oak Lawn, IL 60453","$239,000",2 beds,2 baths,"1,460 sq ft"
"1037 Greenbriar Dr, Glendale Heights, IL 60139","$575,000",4 beds,2.5 baths,"2,449 sq ft"
"985 Lexington Ave, St Charles, IL 60174","$385,000",3 beds,2 baths,"1,604 sq ft"
"4528 S Leamington Ave, Chicago, IL 60638","$349,000",3 beds,2 baths,"2,000 sq ft"
"3675 Congressional Pkwy, Elgin, IL 60124","$559,500",4 beds,3 baths,"2,423 sq ft"
"1992 Woodhaven Dr, Bartlett, IL 60103","$439,000",3 beds,2.5 baths,"1,896 sq ft"
"2706 Telluride Ct, Plainfield, IL 60586","$439,500",4 beds,2.5 baths,"2,112 sq ft"
"827 S Dwyer Ave Unit E, Arlington Heights, IL 60005","$227,900",2 beds,1 bath,"1,001 sq ft"
"10660 Preston St, Westchester, IL 60154","$369,900",3 beds,1.5 baths,"1,134 sq ft"
"1720 S Michigan Ave #2004, Chicago, IL 60616","$230,000",1 bed,1 bath,720 sq ft
"1624 N Wood St #3, Chicago, IL 60622","$395,000",2 beds,1 bath,— sq ft
"30W356 Claymore Ln, Naperville, IL 60563","$389,900",4 beds,2 baths,"1,488 sq ft"
"215 N Aberdeen St Unit B401, Chicago, IL 60607","$374,900",2 beds,2 baths,— sq ft
"13979 Stonehenge Dr, Orland Park, IL 60462","$350,000",3 beds,2.5 baths,"1,802 sq ft"
"6749 S Pointe Dr Unit 1B, Tinley Park, IL 60477","$275,000",2 beds,2 baths,"1,600 sq ft"
"330 N Jefferson St #1002, Chicago, IL 60661","$385,000",1 bed,1 bath,864 sq ft
"16749 Paxton Ave Unit 3S, Tinley Park, IL 60477","$225,000",2 beds,2 baths,900 sq ft
"7339 194th St, Tinley Park, IL 60487","$474,900",3 beds,2.5 baths,"2,955 sq ft"
"1334 W Greenleaf Ave Unit 3D, Chicago, IL 60626","$279,500",2 beds,2 baths,919 sq ft
"3013 N California Ave Unit 2N, Chicago, IL 60618","$459,900",2 beds,2 baths,— sq ft
"1101 Harlem Ave #104, Forest Park, IL 60130","$149,900",2 beds,1 bath,— sq ft
"7428 Maple Dr #58, Justice, IL 60458","$255,000",2 beds,1.5 baths,"1,200 sq ft"
"6300 N Sheridan Rd #203, Chicago, IL 60660","$105,000",1 bed,1 bath,500 sq ft
"1227 N 8000w Rd, Bonfield, IL 60913","$499,900",4 beds,4 baths,"4,025 sq ft"
"1051 63rd St, Downers Grove, IL 60516","$499,900",3 beds,2 baths,"2,671 sq ft"
"1241 Indiana St, Hammond, IN 46320","$149,900",2 beds,1 bath,926 sq ft
"5570 N Olcott Ave, Chicago, IL 60656","$359,900",3 beds,1.5 baths,"1,200 sq ft"
"4543 W Schubert Ave, Chicago, IL 60639","$389,500",3 beds,2 baths,"2,252 sq ft"
"25052 Michele Dr, Plainfield, IL 60544","$474,900",4 beds,2.5 baths,"2,430 sq ft"
"6902 Bluff Point Dr, Madison, WI 53718","$665,000",4 beds,3 baths,"3,516 sq ft"
