name,slogan,website,status,founded,location,team_size,batch,twitter,facebook,crunchbase
Codecademy,The leading online learning platform for technical skills.,http://codecademy.com,Acquired,2011,New York,225,S11,https://twitter.com/codecademy,https://www.facebook.com/codecademy,https://www.crunchbase.com/organization/codecademy
Clever,The platform that powers technology in the classroom.,https://clever.com,Acquired,2012,San Francisco,210,S12,https://twitter.com/clever,https://www.facebook.com/clever,https://www.crunchbase.com/organization/clever
Outschool,A live online learning platform that empowers kids ages 3–18.,http://outschool.com,Active,2015,San Francisco,107,W16,https://twitter.com/outschool,https://www.facebook.com/outschool,https://www.crunchbase.com/organization/outschool
GiveCampus,The fundraising platform for schools.,http://go.givecampus.com,Active,2014,"Washington, DC",105,S15,https://twitter.com/givecampus,https://www.facebook.com/givecampus,https://www.crunchbase.com/organization/givecampus
Platzi,Latin America's School of Technology,https://platzi.com,Active,2014,San Francisco,300,W15,https://twitter.com/platzi,https://www.facebook.com/platzi,https://www.crunchbase.com/organization/platzi
CodeCombat,Game that teaches computer science to middle and high school kids.,https://codecombat.com,Active,2013,San Francisco,45,W14,https://twitter.com/codecombat,https://www.facebook.com/codecombat,https://www.crunchbase.com/organization/codecombat
Cambly,On-demand access to English tutors over video chat.,http://www.cambly.com,Active,,San Francisco,200,W14,,,https://www.crunchbase.com/organization/cambly
Panorama Education,Improving education for every student.,https://www.panoramaed.com,Active,2012,Boston,350,S13,https://twitter.com/PanoramaEd,https://www.facebook.com/PanoramaEd,https://www.crunchbase.com/organization/panorama-education
CleverDeck,Collaborate with an artist to commission original artwork you'll live…,http://cleverdeck.com,Active,,"Istanbul, Turkey",1,W12,,,https://www.crunchbase.com/organization/cleverdeck
VibeGrade,AI that helps teachers grade papers 10x faster in their style.,https://vibegrade.com,Active,2023,San Francisco,2,X25,https://x.com/vibegrade,https://facebook.com/groups/gradeassisteducators,
YouLearn,An AI tutor personalized to each student.,https://www.youlearn.ai,Active,2023,San Francisco,3,X25,https://x.com/youlearnai,,
Miyagi Labs,Shopify for AI-generated courses,https://miyagilabs.ai,Active,2025,New York,2,W25,https://x.com/miyagi_labs,,
GradeWiz,AI Grading for Colleges,https://www.gradewiz.ai,Active,2024,San Francisco,2,W25,,,
Scout,AI-powered student information system for K-12 schools,https://scoutforschools.com,Active,2024,New York,3,W25,,,
Alice.tech,AI-driven exam prep,https://www.alice.tech,Active,2024,"Copenhagen, Denmark",5,W25,,,
Excellence Learning,AI tutor starting with maths and science,https://excellence-ai.com,Active,2025,"Stanford, CA",4,W25,,,
Edexia,AI Teacher Assistant for Grading Essays,https://www.edexia.ai,Active,2023,San Francisco,4,W25,https://x.com/EdexiaAi,https://www.facebook.com/people/Edexia/61573196551815,https://www.crunchbase.com/organization/edexia
RevisionDojo,AI tutors for students.,https://revisiondojo.com,Active,2023,,5,F24,,,
Educato AI,AI-Powered Worldwide exam-prep platform,https://www.educato.ai,Active,2024,San Francisco,5,S24,https://x.com/EducatoAI,https://www.facebook.com/profile.php,
Mathos,Ultimate AI Math Problem Solver to Revolutionize Personalized Learning,https://info.mathgptpro.com,Active,2023,"Santa Clara, CA",5,W24,https://twitter.com/MathGPTPro,,
Shepherd,Every student's personalized learning assistant,https://www.shepherd.study,Active,2023,,5,W24,https://twitter.com/ShepherdLearn,,
Ultra,Advisor for Ambitious Students,https://useultra.ai,Active,2024,,2,W24,,,
MathDash,Training Platform for Math Competitions,https://mathdash.com,Active,2024,,2,W24,,,
Flint,AI personalized learning for schools,http://flintk12.com,Active,2023,San Francisco,8,S23,https://twitter.com/FlintK12_,https://www.facebook.com/flintk12,
Studdy,An AI math tutor for every student,https://www.studdy.ai,Active,2023,San Francisco,4,S23,https://twitter.com/studdyai,,
Ora AI,The learning company.,http://oraai.com,Active,2022,San Francisco,3,S23,,,https://www.crunchbase.com/organization/synaptiq-learning-inc
Epsilon,AI Search Engine for Academic Research,https://www.epsilon-ai.com,Active,2022,New York,2,W23,,,
Univerbal,Language learning with a conversational AI Tutor,https://univerbal.app,Active,2023,"Zürich, Switzerland",3,W23,,https://facebook.com/univerbalapp,https://www.crunchbase.com/organization/quazel
SuperKalam,"Personal Tutor for Every Student, powered by AI Learning Ecosystem.",https://superkalam.com,Active,2023,"Bengaluru, India",20,W23,https://twitter.com/SuperKalam_,https://www.facebook.com/superkalamofficial,https://www.crunchbase.com/organization/kalam
Darsel,Chatbot teaching K12 math in developing countries,http://darsel.tech,Active,2021,,5,W22,,https://www.facebook.com/DarselTech,
Avocademy,We teach UX/UI design and then help people get great jobs.,http://www.Avocademy.com,Active,2020,"Miami, FL",6,W22,,,https://www.crunchbase.com/organization/avocademy
Marathon Education,We provide live after-school tutoring to K-12 students in Vietnam,https://www.marathon.edu.vn,Active,2021,"Ho Chi Minh City, Vietnam",20,W22,,,
Lingt,Lingt provided a web-based platform for learning languages leveraging…,https://www.lingt.com,Active,,San Francisco,2,S09,,,https://www.crunchbase.com/organization/lingt
Toko,Learn English by speaking with an AI,https://tokotutor.com,Active,2021,New York,6,W22,,https://www.facebook.com/tokotutor,
MySivi,MySivi - AI English Speaking Practice App,https://www.mysivi.ai,Active,2022,"Bengaluru, India",10,W22,https://twitter.com/speakifyai,https://www.facebook.com/my.siviai,
Koala,Minecraft for Teachers,https://www.teachwithkoala.com,Active,2020,San Francisco,11,W22,https://twitter.com/studioseinstein,https://www.facebook.com/TeachWithKoala,https://www.crunchbase.com/organization/einstein-studios
Emerge Career,All-in-one re-entry & workforce development training platform,https://www.emergecareer.com,Active,2022,,3,S22,,,
Careerist,Learning platform for job seekers with job applications automation,http://careerist.com,Active,2019,"Sunnyvale, CA",100,S21,,,https://www.crunchbase.com/organization/jobeasy
Stepful,Online Training for Healthcare Jobs,https://www.stepful.com,Active,2021,New York,45,S21,https://twitter.com/StepfulTraining,https://www.facebook.com/stepful,https://www.crunchbase.com/organization/stepful
Pandai,Learning app for school students in Southeast Asia,https://www.pandai.org,Active,2020,"Kuala Lumpur, Malaysia",32,S21,https://twitter.com/pandaiofficial,https://facebook.com/pandaiofficial,https://www.crunchbase.com/organization/pandai-org
Novatr,"Online cohort based courses for architects, engineers and designers…",https://www.novatr.com,Active,2021,"Gurugram, India",180,S21,https://twitter.com/oneistox_,https://www.facebook.com/novatr,
Filadd,We help students in Latin America graduate from College.,https://courses.filadd.com,Active,2018,"Córdoba, Argentina",100,S21,https://twitter.com/Filadd_web,https://facebook.com/filaddco,https://www.crunchbase.com/organization/filadd
Litnerd,Reading + Writing Club App for Kids,https://litnerd.com,Active,2021,New York,6,S21,https://twitter.com/getlitnerd,https://www.facebook.com/getLitnerd,https://www.crunchbase.com/organization/litnerd
Spark Studio,The most magical personal Voice-Led AI English Learning Buddy for Kids,https://sparkstudio.co,Active,2021,"Bengaluru, India",27,S21,https://twitter.com/sparkstudio_co,https://www.facebook.com/TeamSparkStudio,
KaiPod Learning,A national network of microschools bringing school choice to every…,http://www.kaipodlearning.com,Active,2021,Boston,27,S21,https://twitter.com/KaiPodCo,https://www.facebook.com/KaiPodCo,https://www.crunchbase.com/organization/kaipod-learning
Kurios,Cohort-based online courses for professionals in Latin America,https://www.kurios.la,Active,2019,"Lima, Peru",10,S21,,https://www.facebook.com/kurios.la,https://www.crunchbase.com/organization/kurios-technologies
Jovian,Online University for Tech Professionals,https://www.jovian.com,Active,2019,"Bengaluru, India",,S21,,,
StudyStream,24/7 video platform & online community for students to study together,https://studystream.live,Active,2020,"London, United Kingdom",8,S21,,,
Strive Math,Online Coding School for Kids 8-16,https://www.strivemath.com,Active,2020,"Singapore, Singapore",13,S21,,,
AppX,AppX helps social media creators launch their own mobile apps.,https://appx.co.in,Active,2020,"New Delhi, India",30,S21,,,
AlgoUniversity,Building Job driven Virtual Tech University for India 🇮🇳,http://algouniversity.com,Active,2020,"Hyderabad, India",10,S21,,,
Mentorcam,Mentorship from leaders of the world's best companies,https://mentor.cam,Active,2019,"Los Angeles, CA",9,S21,https://twitter.com/getmentorcam,https://www.facebook.com/mentorcam,https://www.crunchbase.com/organization/mentorcam
Kiwify,Create & sell online courses,https://kiwify.com.br,Active,2020,Brazil,200,W21,,,
Avion School,We teach Filipinos to become remote software engineers globally.,https://avionschool.com,Active,2020,"Manila, Philippines",4,W21,https://twitter.com/AvionSchool,https://www.facebook.com/avionschool,
Turing College,AI-driven online tech school for busy professionals,https://www.turingcollege.com,Active,2020,"Vilnius, Lithuania",50,W21,,https://www.facebook.com/turingcollege,https://www.crunchbase.com/organization/turing-college
